A,50,3,49,80
B,20,21,35,79
C,25,12,2,79
D,7,76,69,19
E,29,54,29,15
F,39,9,9,13
G,42,58,58,4
H,10,46,98,50
I,50,61,13,7
J,88,89,81,90
K,1,7,81,45
L,0,50,39,98
M,41,65,35,99
N,57,59,57,78
O,73,95,79,38
P,30,16,24,27
Q,78,77,14,0
R,82,0,79,9
S,19,30,21,97
T,29,2,29,20
U,59,28,70,7
V,89,48,1,19
W,86,18,86,0
X,2,0,44,99
Y,11,4,19,99
Z,98,95,61,49
